1.80,15,27.00,64,DT Double Square Aluminum
2.00,15,26.00,64,DT Double Square Aluminum
1.80,15,86.00,64,DT Double Square Brass
2.00,15,83.00,64,DT Double Square Brass
2.00,12,22.00,64,DT Hidden Aluminum
1.80,12,61.00,64,DT Pro Head Brass
1.80,14,70.00,64,DT Pro Head Brass
2.00,12,59.00,64,DT Pro Head Brass
2.00,14,68.00,64,DT Pro Head Brass
2.34,14,74.00,64,DT Pro Head Brass
1.80,15,27.00,64,DT Squorx Aluminum
2.00,15,26.00,64,DT Squorx Aluminum
2.00,15,79.00,64,DT Squorx Brass
1.80,12,21.00,64,DT Standard Aluminum
1.80,14,24.00,64,DT Standard Aluminum
1.80,16,27.00,64,DT Standard Aluminum
2.00,12,20.00,64,DT Standard Aluminum
2.00,14,23.00,64,DT Standard Aluminum
2.00,16,26.00,64,DT Standard Aluminum
1.80,12,64.00,64,DT Standard Brass
1.80,14,73.00,64,DT Standard Brass
1.80,16,84.00,64,DT Standard Brass
2.00,12,62.00,64,DT Standard Brass
2.00,14,71.00,64,DT Standard Brass
2.00,16,82.00,64,DT Standard Brass
2.34,12,56.00,64,DT Standard Brass
2.34,14.5,112.00,64,DT Standard Brass
1.80,14.4,0.40,1,Pillar DSN Alloy
2.00,14.4,0.40,1,Pillar DSN Alloy
2.34,14.4,0.40,1,Pillar DSN Alloy
1.80,16,0.46,1,Pillar DSN Alloy (extimated)
1.80,18,0.52,1,Pillar DSN Alloy (extimated)
1.80,20,0.60,1,Pillar DSN Alloy (extimated)
2.00,16,0.46,1,Pillar DSN Alloy (extimated)
2.00,18,0.52,1,Pillar DSN Alloy (extimated)
2.00,20,0.60,1,Pillar DSN Alloy (extimated)
2.34,16,0.46,1,Pillar DSN Alloy (extimated)
2.34,18,0.52,1,Pillar DSN Alloy (extimated)
2.34,20,0.60,1,Pillar DSN Alloy (extimated)
1.80,14.4,1.20,1,Pillar DSN Brass
2.00,14.4,1.20,1,Pillar DSN Brass
2.34,14.4,1.20,1,Pillar DSN Brass
1.80,16,1.37,1,Pillar DSN Brass (extimated)
1.80,18,1.57,1,Pillar DSN Brass (extimated)
1.80,20,1.80,1,Pillar DSN Brass (extimated)
2.00,16,1.37,1,Pillar DSN Brass (extimated)
2.00,18,1.57,1,Pillar DSN Brass (extimated)
2.00,20,1.80,1,Pillar DSN Brass (extimated)
2.34,16,1.37,1,Pillar DSN Brass (extimated)
2.34,18,1.57,1,Pillar DSN Brass (extimated)
2.34,20,1.80,1,Pillar DSN Brass (extimated)
2.00,14,0.40,1,Pillar HS14
2.00,16,0.46,1,Pillar HS14 (extimated)
1.80,14,0.40,1,Pillar HS15
1.80,16,0.46,1,Pillar HS15 (extimated)
2.00,12,0.35,1,Pillar MV14
2.00,14,0.40,1,Pillar MV14 (extimated)
2.00,16,0.46,1,Pillar MV14 (extimated)
1.80,12,0.35,1,Pillar MV15
1.80,14,0.40,1,Pillar MV15 (extimated)
1.80,16,0.46,1,Pillar MV15 (extimated)
2.34,12,1.25,1,Pillar PB 13
2.34,14,1.43,1,Pillar PB 13  (extimated)
2.34,16,1.64,1,Pillar PB 13  (extimated)
2.34,20,1.88,1,Pillar PB 13  (extimated)
2.00,12,0.95,1,Pillar PB 14
2.00,14,1.09,1,Pillar PB 14  (extimated)
2.00,16,1.25,1,Pillar PB 14  (extimated)
2.00,20,1.43,1,Pillar PB 14  (extimated)
2.00,12,0.95,1,Pillar PB 14 H
2.00,14,1.09,1,Pillar PB 14 H  (extimated)
2.00,16,1.25,1,Pillar PB 14 H  (extimated)
1.80,12,0.95,1,Pillar PB 15
1.80,14,1.09,1,Pillar PB 15  (extimated)
1.80,16,1.25,1,Pillar PB 15  (extimated)
1.80,20,1.43,1,Pillar PB 15  (extimated)
1.80,12,0.95,1,Pillar PB 15 H
1.80,14,1.09,1,Pillar PB 15 H  (extimated)
1.80,16,1.25,1,Pillar PB 15 H  (extimated)
2.00,12,0.30,1,Pillar PT 734
2.00,14,0.34,1,Pillar PT 734 (extimated)
2.00,16,0.39,1,Pillar PT 734 (extimated)
2.00,20,0.45,1,Pillar PT 734 (extimated)
2.00,12,0.32,1,Pillar PT 734 H
2.00,14,0.37,1,Pillar PT 734 H (extimated)
2.00,16,0.42,1,Pillar PT 734 H (extimated)
1.80,12,0.30,1,Pillar PT 735
1.80,14,0.34,1,Pillar PT 735 (extimated)
1.80,16,0.39,1,Pillar PT 735 (extimated)
1.80,20,0.45,1,Pillar PT 735 (extimated)
1.80,12,0.32,1,Pillar PT 735 H
1.80,14,0.37,1,Pillar PT 735 H (extimated)
1.80,16,0.42,1,Pillar PT 735 H (extimated)
1.80,14,0.40,1,Pillar TG Alloy
2.00,14,0.40,1,Pillar TG Alloy
1.80,16,0.46,1,Pillar TG Alloy (extimated)
2.00,16,0.46,1,Pillar TG Alloy (extimated)
1.80,14,1.20,1,Pillar TG Brass
2.00,14,1.20,1,Pillar TG Brass
1.80,16,1.37,1,Pillar TG Brass (extimated)
2.00,16,1.37,1,Pillar TG Brass (extimated)
1.80,14,0.40,1,Pillar TG-H Alloy
2.00,14,0.40,1,Pillar TG-H Alloy
1.80,16,0.46,1,Pillar TG-H Alloy (extimated)
2.00,16,0.46,1,Pillar TG-H Alloy (extimated)
1.80,14,1.20,1,Pillar TG-H Brass
2.00,14,1.20,1,Pillar TG-H Brass
1.80,16,1.37,1,Pillar TG-H Brass (extimated)
2.00,16,1.37,1,Pillar TG-H Brass (extimated)
1.80,12,19.50,64,Sapim Poliax Aluminium
1.80,14,22.00,64,Sapim Poliax Aluminium
1.80,16,25.00,64,Sapim Poliax Aluminium
2.00,12,19.50,64,Sapim Poliax Aluminium
2.00,14,22.00,64,Sapim Poliax Aluminium
2.00,16,25.00,64,Sapim Poliax Aluminium
1.80,12,60.50,64,Sapim Poliax Brass
1.80,14,68.00,64,Sapim Poliax Brass
1.80,16,76.50,64,Sapim Poliax Brass
2.00,12,60.50,64,Sapim Poliax Brass
2.00,14,68.00,64,Sapim Poliax Brass
2.00,16,76.50,64,Sapim Poliax Brass
2.34,12,60.50,64,Sapim Poliax Brass
2.34,14,68.00,64,Sapim Poliax Brass
2.34,16,76.50,64,Sapim Poliax Brass
